"98","Marquese Chriss","PF","24","DAL","8","0","12.8","2.9","4.9",".590","0.5","1.1",".444","2.4","3.8",".633",".641","0.4","0.5",".750","0.9","3.5","4.4","0.1","0.3","0.5","0.9","3.1","6.6"
"99","Josh Christopher","SG","20","HOU","31","2","15.3","2.4","5.3",".454","0.7","2.0",".339","1.7","3.3",".525",".518","1.1","1.3",".829","0.6","1.2","1.8","1.7","0.8","0.1","1.4","1.1","6.5"
"100","Gary Clark","PF","27","NOP","7","1","11.4","0.9","2.4",".353","0.9","2.1",".400","0.0","0.3",".000",".529","0.1","0.3",".500","0.7","1.4","2.1","0.6","0.4","0.1","0.0","0.1","2.7"
"101","Brandon Clarke","PF","25","MEM","25","0","16.8","3.8","6.0",".644","0.1","0.6",".143","3.8","5.4",".696",".651","0.9","1.4",".657","1.7","3.1","4.8","1.3","0.3","0.9","0.4","1.6","8.7"
"102","Jordan Clarkson","SG","29","UTA","38","0","25.6","5.5","13.9",".394","2.6","8.2",".313","2.9","5.8",".509",".486","1.5","1.9",".789","0.7","2.7","3.4","2.3","0.7","0.2","1.5","1.8","15.0"
"103","Nic Claxton","C","22","BRK","17","11","21.8","3.9","5.9",".660","0.0","0.0","","3.9","5.9",".660",".660","1.2","1.9",".606","1.6","3.6","5.2","0.9","0.6","1.3","0.7","2.5","8.9"
"104","Amir Coffey","SG","24","LAC","25","4","16.4","1.5","3.6",".407","0.8","2.4",".356","0.6","1.3",".500",".522","1.3","1.5",".865","0.3","2.3","2.6","1.0","0.3","0.2","0.3","0.8","5.1"
"105","John Collins","PF","24","ATL","32","32","32.6","6.6","12.1",".549","1.4","3.2",".427","5.3","8.8",".594",".606","3.0","3.8",".793","1.8","6.1","7.9","2.1","0.7","1.2","1.2","3.0","17.6"
"106","Darren Collison","PG","34","LAL","3","0","12.3","0.7","2.3",".286","0.0","1.0",".000","0.7","1.3",".500",".286","0.0","0.0","","0.0","1.3","1.3","0.7","0.3","0.0","0.3","1.7","1.3"
"107","Mike Conley","PG","34","UTA","34","34","28.3","5.1","10.9",".465","2.5","5.7",".431","2.6","5.1",".503",".578","1.6","1.9",".815","0.5","2.4","2.9","5.3","1.1","0.3","1.6","1.8","14.1"
